"link","frequency"
"http://t.co/bfUvzotRGm”",1
"http://t.co/BfzWMq63rm",1
"http://t.co/BG5zm0RckT""",1
"http://t.co/BgLhORp4QC",1
"http://t.co/bH400faCT8",1
"http://t.co/BIB0UcpGCm”You're",1
"http://t.co/bigZ5CGWk8",1
"http://t.co/BImNQBiCGv",1
"http://t.co/BivhWr1HAs",1
"http://t.co/BJQeNSD2A9""",2
"http://t.co/BjX0tZgUg6",1
"http://t.co/bKBCuWijD2”",1
"http://t.co/bKC1T5TzxM”",2
"http://t.co/bkZ6FQYoXc”",1
"http://t.co/BlMMwV5ESa""",1
"http://t.co/blyjHSgGzK",1
"http://t.co/bmcyNvVd6r",1
"http://t.co/bMHMxVGrmy",1
"http://t.co/BMMQHV1Hjr""",2
"http://t.co/bn8pM1b1NP",1
"http://t.co/BNsZYJXkJR",2
"http://t.co/bo9Jvr8Uv9",4
"http://t.co/boAZhFjPXM",1
"http://t.co/bOfMQTnvRl",2
"http://t.co/bOLqSczSfg",1
"http://t.co/boplsl9wqu",1
"http://t.co/bowu5iOvYJ",1
"http://t.co/bp51A3M7Xu",1
"http://t.co/bp5pLtUMnu",1
"http://t.co/bPI5pZYhmC”",1
"http://t.co/BPvfJNejL9",2
"http://t.co/bqazOiKYwM",1
"http://t.co/bQDhoCOnU4",2
"http://t.co/Brbf20CJiQ",1
"http://t.co/BRNgVSIYn5",1
"http://t.co/BRoeBAlmWJ”",1
"http://t.co/brVw9xXNOH",1
"http://t.co/bseLZkemmG",1
"http://t.co/BSnI3Pc2nI",1
"http://t.co/bSRfwF4nTW",1
"http://t.co/BT01q0wiI7",1
"http://t.co/bTLKGfRDz1",1
"http://t.co/BTOvPKUTq7",1
"http://t.co/BVDnyplik9",1
"http://t.co/bVkRMTXZeO""",1
"http://t.co/Bvnf35Sg7L",1
"http://t.co/bW0MH9NGDg”",1
"http://t.co/bW77TdKskE",1
"http://t.co/bw8TBgXvnB""",1
"http://t.co/bWoNEHSCno",1
"http://t.co/bwpPozg1Jb”",6
"http://t.co/BxaexjXQZl”",1
"http://t.co/bxDevz6uGf",1
"http://t.co/bXgZiKYS0J”",2
"http://t.co/BxmKX6…",1
"http://t.co/BxmKX6WE49",1
"http://t.co/BxskckMi0E",1
"http://t.co/bXTBPdsLFj",3
"http://t.co/ByEZhPiAxz",1
"http://t.co/byix5GCnWk""",1
