"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"skojin","1","1","0","2","all-fixed.csv","7"
NA,"sobrinho","1","1","2.62857515322452","2","all-fixed.csv","7"
NA,"spastorino","11","8","3.20531210394294","19","all-fixed.csv","7"
NA,"sskirby","3","2","0","5","all-fixed.csv","7"
NA,"sstephenson","2","0","0","2","all-fixed.csv","7"
NA,"steveklabnik","3","6","402.96917690153","9","all-fixed.csv","7"
NA,"swrobel","0","2","0","2","all-fixed.csv","7"
NA,"tandem-softworks","5","7","0","12","all-fixed.csv","7"
NA,"tenderlove","9","6","75.2225340144968","15","all-fixed.csv","7"
NA,"teohm","4","3","142","7","all-fixed.csv","7"
NA,"travisbot","0","1","0","1","all-fixed.csv","7"
NA,"twinturbo","1","1","0","2","all-fixed.csv","7"
NA,"ugisozols","0","1","0","1","all-fixed.csv","7"
